ICT Occupational Role	Purpose 	Activities	Skills & aptitudes	Expected growth	Minimum Education Requirements	Salary (median)	Length of Training	Cost of Training	Relevant Training Organizations	Exciting quote	Source	PurposeBrief	PurposeTag	
1.  CREATORS														
Product Manager	Brings a technology product to market in response to a customer need (from vision to planning to execution). 	*Creates a product development strategy (from conceptualization, to design, production, marketing) *Ensures new technology product will fulfill user needs *Evaluates product competition * Coordinates tasks with teams in research and development, marketing, procurement, finance, human resources * Champions the product internally, among partners, and with customers	* Technical knowledge relevant to tech product or industry * Business skills and acumen * Project & time management skills * Communication skills  * Team building skills * Problem solving/analytic skills * User experience oriented * Creative  * Results driven	14% by 2020	Bachelors degree - business, marketing, computer science; MBA or advanced technical degree often preferred  Or associates degree combined with additional field certifications and previous work experience	Manager: $102,000   Associate: $65,000 			Community colleges, colleges, business schools, 		http://www.google.com/about/careers/teams/product-management/  http://pragmaticmarketing.com/resources/sample-product-manager-job-description  http://www.mindtheproduct.com/2014/05/technical-product-manager-anyway/  http://www.svpg.com/assets/Files/productmanager.pdf	Brings a technology product to market in response to a customer need	Manages technology product creation from apps to websites	68
Hardware Engineer	Designs, develops, and tests physical computing devices and their internal and external components. 	*Ensures that hardware will fulfill user needs *Creates blueprints for design of hardware  * Tests hardware models & prototypes * Analyzes test resuls and modifies hardware  *Ensures compatibility with software *Oversees the manufacturing process  *Coordinates tasks with designers, markers, procurement personnel, product managemers	* Technical knowledge relevant to computer science, electronics, math, physics, hardware design, familiarity with software/programming * Product and industry-specific knowledge * Project & time management skills * Communication skills * Problem solving/analytic skills * Creative 	7% by 2020	Bachelors degree - computer engineering, electrical engineering, computer science; optimal to choose an accredited ABET program  Or associates degree combined with additional field certifications and previous work experience 	Engineer (experienced): $104,000   Engineer (entry):$71,000  					  http://www.bls.gov/ooh/architecture-and-engineering/computer-hardware-engineers.htm  http://www.payscale.com/research/US/Job=Hardware_Engineer/Salary  http://study.com/articles/Hardware_Engineer_Job_Description_Salary_Duties_and_Outlook.html  http://www.truity.com/career-profile/computer-hardware-engineer  http://www.learnhowtobecome.org/computer-engineer/	Designs, develops and tests physical computing devices and components	Creates physical computing devices	69
Software Engineer	Designs, develops, and tests the virtual operating systems and applications that run on computing devices.	*Ensures software will fulfill user needs *Creates blueprints for design of software *Creates software using data instructions called code (or delegates tasks to coders)  *Tests software and modifies as needed *Creates software updates to ensure product usability into the future *Coordinates tasks with designers, markers, product managers 	* Technical knowledge relevant to computer science, math, software design, programming, coding languages (ie: Java, JavaScript, Ruby, C, C++, C#, SQL, Python) * Product and industry-specific knowledge * Project & time management skills * Communication skills * Problem solving/analytic skills * Creative * Detail oriented	22% by 2020	Bachelors degree in computer science, applied math, software engineering; optimal to choose an accredited ABET program  Or associates degree combined with additional field certifications and previous work experience	Engineer (experienced) : $101,000   Engineer (entry): $73,000   					http://www.payscale.com/research/US/Job=Software_Engineer/Salary  http://www.bls.gov/ooh/computer-and-information-technology/software-developers.htm#tab-4  https://www.sokanu.com/careers/software-engineer/  http://www.softwareengineerinsider.com/degrees/software-development-degrees.html#context/api/listings/prefilter  https://www.devsaran.com/blog/10-best-programming-languages-2015-you-should-know	Designs, develops and tests apps, operating systems for the web and devices	Brings computing devices to life - using code	75
Web Developer	Designs and creates websites. Responsible for the look of the site (front-end) and behind the scenes interactions with servers and databases (back-end). Developers who work on both the front-end and back-end are called "full-stack" developers. 	*Ensures website will fulfill user needs *Creates blueprints of site's design called "wireframes"  *Produces data intructions called code to create look of the site (front-end) and interactions with behind the scenes servers/databases (back-end) *Registers site with  search engines  *Tests site before it goes live *Maintains and updates site  * Coordinates tasks with graphic designers, content writers, technical specialists   	* Technical knowledge relevant to web design, programming, multimedia and graphics, networking, coding languages (ie: HTML, JavaScript, CSS, Ruby, Python, SQL), web development tools (ie: Dreamweaver, Bootstrap, Foundation, Ajax) * Product and industry specific knowledge * Project & time management skills * Problem solving/analytic skills * Communication skills * Creative * Strong design sensibility * Detail oriented 	20% by 2020	Bachelors degree in web development/design, multimedia, computer science, or related field;   Or associates degree combined with additional field certifications and previous work experience	Web Developer (experienced): $106,000   Web Developer (entry): $72,000   					http://myjobsearch.com/careers/web-developer.html  http://www.bls.gov/ooh/computer-and-information-technology/web-developers.htm#tab-2  http://blog.udacity.com/2014/12/front-end-vs-back-end-vs-full-stack-web-developers.html	Designs and creates websites, both the look (front-end) and the server side (back-end)	Builds websites people want to use	86
Coders/  Programmers	Turns the designs made by software engineers and web developers into data instructions called code that computing devices can follow (end product: software & web pages).	*Ensures code will fulfill software/web developer's vision and needs  *Codes new programs that fit engineer's specifications  *Repeatedly tests code; finds and fixes errors; debugs *Updates or expands existing code *Simplifies and automates code writing *Coordinates tasks with engineers, product managers, other coders 	*Technical knowledge relevant to software or web design, coding languages and platforms (JavaScript, Ruby, C, C++, SQL, Python, HTML, JavaScript, CSS) * Time management skills * Ability to follow instructions * Communication skills * Creative thinking * Problem solving/analytic skills * Detail oriented 	8% by 2020	Associates degree in  computer science, programming, information technology  or related field; Bachelors often preferred  Programmers can earn certifications in both specific coding languages and software platforms that can boost job competitiveness	 Programmer (experienced): $100,000  Programmer (entry): $61,000 					http://www.careeroverview.com/computer-programming-careers.html  http://www.learnhowtobecome.org/computer-programmer/  http://www.bls.gov/ooh/computer-and-information-technology/computer-programmers.htm	Turns the designs made by engineers into code that drives websites & apps	Takes ideas into action for apps, websites, the world	73
Graphic & Multi-media Designers (including 3D animators) 	Combines art and technology to visually inspire, inform, and captivate.  Graphic designers work on still images for print or the web, whereas multi-media designers and animators produce animation for video games, movies, television, and the web.	*Ensures design fulfills client/employer's needs *Creates concept drafts, mock-up models, and story boards  *Produces original graphics or animation using specialized software  *Manipulates light, color, texture, sequencing of graphics or still frames *Coordinates tasks with printers, copywriters, photographers, software/web developers, marketers *Edits and redfines final designs before produce release	*Technical knowledge relevant to graphic and multi-medial design, proficiency using design software tools (Adobe Creative Suite tools, InDesign, FreeHand, Illustrator, Photoshop, 3ds Max, Acrobat, Dreamweaver, Flash), famiarity with basic coding/programming *Product and industry specific skills * Project & time management skills *Artistic ability *Creative *Communication skills *Detail oriented 	7% by 2020	A bachelor’s degree in graphic design/multimedia design, fine arts, or a related field  Or associates degree/ high school diploma combined with additional field certifications and previous work experience	Graphic/multi-media Designer (experienced): $77,000   Graphic/multi-media Designer (entry): $52,000 					http://study.com/articles/How_to_Become_a_Multimedia_Designer_Career_Roadmap.html  http://www.bls.gov/ooh/arts-and-design/graphic-designers.htm#tab-4	Combines art and technology in creative ways, from print work to animation	Makes technology visually appealing	74
Network Developers 	Designs and builds communication networks between computing devices, including local area networks (LANs), wide area networks (WANs), internet, and intranet. These networks range from small connections between devices in the same office to globally distributed communications systems.	*Ensures network design will fulfill user needs *Creates the network layout and installation plan * Procures equipment to support the network (hardware and software) * Oversees installation of network system * Tests functionality of system and modifies as needed *Coordinates tasks with IT teams, vendors, network security operators, clients, users	*Technical knowledge relevant to server operating systems, hardware, software, math, electronics, network design, security, familiarity with coding/programming  * Product and industry specific knowledge * Project & time management skills * Problem solving/ analytic skills * Communication skills * Detail oriented * Creative   	15% by 2020	A bachelor's degree in network development, computer science, information technology, or other related fields such as mathematics   Or associates degree combined with additional field certifications (many offered by companies for their networking products) and previous work experiences  	Network Developer (experienced): $123,000  Network Developer (entry): $77,000 					http://www.bls.gov/ooh/computer-and-information-technology/computer-network-architects.htm#tab-2  http://study.com/articles/Be_a_Computer_Network_Engineer_Step-by-Step_Career_Guide.html	Designs and builds communication networks between devices, from IoT to servers	Builds the internet and other networks	78
Data Scientists 	Analyzes large amounts of data to extract new insights and inform an organization's decision making and strategies.	*Ensures data analysis will fulfill client/employer's needs *Creates a plan for analyzing data *Identifies sources of data  *Joins and restructures sets of data *Uses software tools and coding instructions to analyze data  *Visually depicts data trends (graphs, charts) that tell a compelling story *Helps decision makers apply findings  *Coordinates tasks with department managers and data owners 	*Technical knowledge relevant to data sourcing, database usage, statistical analysis, modeling and forecasting, software programming, machine learning, coding languages, data visualization and reporting * Product and industry specific knowledge * Project & time management skills * Problem solving/ analytic skills * Detail oriented * Communication skills * Creative   	18% by 2020	Bachelors degree with additional training ;masters typically preferred in computer science, data science, math, statistics, or related field 	Data Scientist (experienced): $136,000  Data Scientist (entry): $110,000 					http://i1.wp.com/blog.datacamp.com/wp-content/uploads/2014/08/How-to-become-a-data-scientist.jpg  https://www.quora.com/How-can-I-become-a-data-scientist-1  	Analyzes large amounts of data to gain new insights and inform decision making	Crunches numbers to make change	78
User Experience  Designers	Ensures that users have a valuable experience interacting with a digital or physical product or service.	* Ensures user experience (UX) design will fulfill client/employer's needs *Develops UX design strategy *Identifies target user profiles  *Researches users' needs via interviews, market data, surveys *Tests multiple product prototypes among target users * Refines prototype to create the "best" user experience to incorporate *Coordinates tasks with designers, marketers, and individual users	* Technical knowledge relevant to user experience (UX) design, human-centered design, interaction design, user research, a/b testing, prototyping * Ability to empathize with others * Product and industry specific knowledge * Project & time management skills * Problem solving/ analytic skills * Communication skills * Detail oriented * Creative 	22% by 2020	Bachelors degree in visual or industrial design, human computer interaction, human factors, information architecture, computer science, cognitive psychology, or related field.    Or associates degree combined with additional field certifications and previous work experience	User Experience Designer (experienced): $120,000   User Experience Designer (entry): $88,000 					http://www.schools.com/visuals/how-to-become-a-ux-designer.html  http://www.smashingmagazine.com/2010/10/what-is-user-experience-design-overview-tools-and-resources/  http://www.fastcodesign.com/3032719/ui-ux-who-does-what-a-designers-guide-to-the-tech-industry	Ensures that users have a valuable experience interacting with a digital product	Makes app and web users happy	80
